raw_tag,canonical_category
3D Technology,Other
3D printing,Robotics/Hardware
AI,AI/ML
AI avatar generation,AI/ML
AI email generation,AI/ML
AI image generation,AI/ML
AI text generation,AI/ML
AI video compression,AI/ML
AI video generation,AI/ML
AI-enabled cybersecurity,Cybersecurity
AI/ML,AI/ML
AIOps,AI/ML
AR/VR,Media/Entertainment
Access control,Cybersecurity
Accounting,Fintech
Accounts payable,Other
Accounts receivable,Other
Adtech,Media/Entertainment
Advanced Materials,Other
Advertising,Media/Entertainment
Advertising Platforms,Media/Entertainment
Advisors,Other
Aerospace,SpaceTech
Aerospace manufacturer,SpaceTech
Affiliate Marketing,Media/Entertainment
AgTech,FoodTech/AgTech
Agricultural biotechnology,Healthcare/Biotech
Agricultural technology (AgTech),FoodTech/AgTech
Agriculture,FoodTech/AgTech
Air pollution,Other
Alternative proteins,FoodTech/AgTech
Alternative seafood,FoodTech/AgTech
Alzheimer's disease,Healthcare/Biotech
Analytics,AI/ML
Anti-money laundering (AML),Fintech
Apartment,Real Estate/PropTech
Application programming interface (API),SaaS/Software
Application software,SaaS/Software
Apps,Other
Architecture,Real Estate/PropTech
Art,Other
Artificial Intelligence (AI),AI/ML
Asset management,Fintech
Auction,Other
Augmented reality,Media/Entertainment
Augmented reality glasses,Media/Entertainment
Autoimmune disease,Other
Automation,Robotics/Hardware
Automotive,EV/Mobility
Automotive industry,EV/Mobility
Autonomous System,Other
Autonomous Vehicles,EV/Mobility
Autonomous underwater vehicle,EV/Mobility
Autonomous vehicle,EV/Mobility
Avatar (computing),Other
Aviation,Other
B2B,Other
B2C,Other
Baby technology,Other
Bank,Other
Banking,Fintech
Banking as a Service,Fintech
Banking/Fintech,Fintech
Batch production,Other
Battery,CleanTech/Energy
Battery/Energy Storage,CleanTech/Energy
Beauty,E-Commerce/Retail
Beef,Other
Behavioral biometrics,Other
Bicycle-sharing system,EV/Mobility
Big data,Other
Bioinformatics,Healthcare/Biotech
Biology,Other
Biomedical engineering,Healthcare/Biotech
Biometrics,Other
Biopharmaceutical,Healthcare/Biotech
Bioplastic,Other
Bioprinting,Other
Biosensor,Robotics/Hardware
Biotech,Healthcare/Biotech
Biotechnology,Healthcare/Biotech
Bitcoin,Other
Blockchain,Fintech
Blockchain and cryptocurrency,Fintech
Blockchain/Crypto,Fintech
Blockchains And Fintech,Fintech
Blog,Other
Bookkeeping,Other
Brain-computer interface,Other
Broadcasting,Other
Business,SaaS/Software
Business intelligence (BI),SaaS/Software
Business process management,Other
Business software,SaaS/Software
Business travel,Other
COVID-19 testing,SaaS/Software
CRM,SaaS/Software
Caller ID,Other
Cancer,Other
Carbon capture and storage,CleanTech/Energy
Cardiology,Other
Career management,Other
Catering,Other
Cell therapy,Healthcare/Biotech
Cell-based meat,FoodTech/AgTech
Cellular agriculture,FoodTech/AgTech
Chat (industry),Other
Chemical industry,Other
Chemicals Agricultural,Other
Chemistry,Other
Circular Economy,CleanTech/Energy
Circular economy,CleanTech/Energy
Clean technology,Other
CleanTech,CleanTech/Energy
Cleantech,CleanTech/Energy
ClimateTech,CleanTech/Energy
Clinical trial,Other
Cloud,SaaS/Software
Cloud computing,SaaS/Software
Cloud computing security,SaaS/Software
Cloud management,SaaS/Software
Cloud storage,SaaS/Software
Coffee,Other
Collaboration,SaaS/Software
Collaboration tool,SaaS/Software
College recruiting,Other
Commercialization,Other
Communication,Other
Communication software,SaaS/Software
Communications infrastructure,SaaS/Software
Communications platform as a service,SaaS/Software
Communications satellite,SpaceTech
Compliance,Fintech
Computational biology,Other
Computer,AI/ML
Computer Software,SaaS/Software
Computer Vision,AI/ML
Computer hardware,Robotics/Hardware
Computer network,Other
Computer security,Cybersecurity
Connected car,EV/Mobility
Construction,Real Estate/PropTech
Consulting industry,Other
Consumer,E-Commerce/Retail
Consumer behaviour,E-Commerce/Retail
Consumer biotechnology,E-Commerce/Retail
Consumer electronics,Robotics/Hardware
Consumer goods,E-Commerce/Retail
Consumer packaged goods (CPG),E-Commerce/Retail
Content (media),Media/Entertainment
Contract lifecycle management,Other
Convenience store,Other
Corporate social responsibility,Media/Entertainment
Cosmetics,E-Commerce/Retail
Creative industries,Other
Credit (finance),Fintech
Credit card,Fintech
Crowdfunding,Fintech
Crowdsourcing,Other
Crypto,Fintech
Crypto/Web3,Fintech
Cryptocurrency,Fintech
Cryptocurrency exchange,Fintech
Cryptocurrency mining,Fintech
Cryptocurrency wallet,Fintech
Currency exchange,Other
Curriculum,Other
Customer experience,Other
Customer service,Other
Customer success,Other
Customer support,Other
Cybersecurity,Cybersecurity
Dairy,Other
Data,AI/ML
Data Analytics,Other
Data Residency,Other
Data analysis,Other
Data integration,SaaS/Software
Data labeling software,SaaS/Software
Data management,SaaS/Software
Data science,AI/ML
Data visualization,Other
Database,SaaS/Software
Decentralized Finance,Fintech
Decentralized application (dApp),Fintech
Decentralized autonomous organization (DAO),Fintech
Deep Tech,Other
Deep learning,AI/ML
Delivery,E-Commerce/Retail
Delivery (commerce),E-Commerce/Retail
Delivery Service,E-Commerce/Retail
Delivery/Logistics,EV/Mobility
Dental industry,Healthcare/Biotech
Design,Other
DevOps,SaaS/Software
Developer Tools,SaaS/Software
Diagnosis,Other
Diagnostic Equipment,Other
Diagnostic tools,Other
Digital Community,Other
Digital Engineering,Other
Digital currency,Other
Digital health,Healthcare/Biotech
Digital manufacturing,Other
Digital marketing,Media/Entertainment
Digital media,Media/Entertainment
Digital photography,Other
Digital rights management,Other
Digital textbook,Other
Digital therapeutics,Healthcare/Biotech
Distribution,Other
Document Preparation Services,Other
Domestic robot,Other
Drones,Robotics/Hardware
Drones/UAV,Robotics/Hardware
Drug delivery,E-Commerce/Retail
Drug development,Other
Drug discovery,Healthcare/Biotech
E-Commerce,E-Commerce/Retail
E-agriculture,FoodTech/AgTech
E-commerce,E-Commerce/Retail
E-learning,EdTech
ESG validation,Other
EV/Mobility,EV/Mobility
EdTech,EdTech
Edge computing,Other
Education,EdTech
Education and Training Services,EdTech
Educational Technology,EdTech
Electric Vertical Takeoff and Landing,Other
Electric car manufacturing,Other
Electric vehicle,EV/Mobility
Electric vehicle manufacturing,EV/Mobility
Electrical & Electronic Manufacturing,Other
Electrical Distribution,Other
Electronic health record,Healthcare/Biotech
Electronic publishing,Media/Entertainment
Electronic signature,Other
Electronics,Robotics/Hardware
Electronics Manufacturing,Robotics/Hardware
Email Security,Cybersecurity
Emergency medicine,Other
Employee benefits,HR/Workforce
Employment,Other
Encryption,Cybersecurity
Energy,CleanTech/Energy
Energy efficiency,CleanTech/Energy
Energy industry,Other
Energy storage,CleanTech/Energy
Engineering,Other
Enterprise,SaaS/Software
Enterprise software,SaaS/Software
Entertainment,Media/Entertainment
Environment,Other
Environmental science,CleanTech/Energy
Expense,Fintech
Eyewear,Other
Facial recognition,Other
Facility management,Real Estate/PropTech
Farmers' market,Other
Fashion,E-Commerce/Retail
Femtech,Other
Fermentation,Other
Fertility,Healthcare/Biotech
Fiat-collateralized,Other
Finance,Other
Finance and Insurance,Insurance
Financial inclusion,Other
Financial management,Other
Financial services,Fintech
Financial software,SaaS/Software
Financial technology,Fintech
Fintech,Fintech
Fitness,Other
Fitness/Wellness,Other
Fleet management,EV/Mobility
Focused On Cellular Energy Metabolism,Other
Food,FoodTech/AgTech
Food Production,FoodTech/AgTech
Food technology,FoodTech/AgTech
Food/FoodTech,FoodTech/AgTech
FoodTech,FoodTech/AgTech
For End Consumer Development,E-Commerce/Retail
Forestry,Other
Fraud detection,Cybersecurity
Freight transport,EV/Mobility
Fund,Other
Furniture,Other
Fusion power,Other
Futures contract,Other
Gamification,Other
Gaming,Media/Entertainment
General aviation,Other
Generative AI,AI/ML
Genetic engineering,Other
Genetic testing,SaaS/Software
Genetics,Other
Genomics,Healthcare/Biotech
Get In Touch,Other
GovTech,Other
Graphic design,Other
Green Concrete,CleanTech/Energy
Green building,Real Estate/PropTech
Grocery and Convenience Retailers,E-Commerce/Retail
Gym,Other
HR software,SaaS/Software
HRTech,Other
HVAC,Other
Hardware,Robotics/Hardware
Health,Healthcare/Biotech
Health Care and Social Assistance,Media/Entertainment
Health information technology,SaaS/Software
Health insurance,Healthcare/Biotech
Health technology,Healthcare/Biotech
HealthTech,Healthcare/Biotech
Healthcare,Healthcare/Biotech
Hedge fund,Other
Higher education,EdTech
Home Furnishings Retailers,E-Commerce/Retail
Home improvement,Other
Hospitality industry,Healthcare/Biotech
Hotel,Other
Housing,Real Estate/PropTech
Human resource management,Other
Human resources,HR/Workforce
Human–computer interaction,Other
Hunting,Other
Identity,Cybersecurity
Identity management,Cybersecurity
Identity theft,Cybersecurity
Image recognition,AI/ML
Immunology,Other
Immunotherapy,Healthcare/Biotech
Impact investing,Other
In-vitro diagnostics (IVD),Healthcare/Biotech
Inchina,Other
Indoor positioning system,Other
Induced pluripotent stem cell,Other
Industrial,Robotics/Hardware
Industrial Manufacturing,Other
Industrial automation,Robotics/Hardware
Industrial design,Other
Influencer marketing,Media/Entertainment
Information (industry sector),Other
Information Services,Other
Information Systems & Services,Other
Information Technology & Services,SaaS/Software
Information infrastructure,SaaS/Software
Information security,Cybersecurity
Information technology,SaaS/Software
Infrastructure,SaaS/Software
Innovation management,Other
Insect farming,FoodTech/AgTech
Inspection,Other
InsurTech,Fintech
Insurance,Insurance
Insurance Technology,Insurance
Integrated circuit,Robotics/Hardware
Intellectual property,Real Estate/PropTech
Interior design,Other
Internet,Robotics/Hardware
Internet access,Other
Internet of things (IoT),Robotics/Hardware
Investing,Other
Investment,Fintech
Investment management,Fintech
IoT,Robotics/Hardware
Knowledge management (KM),Other
Laboratory,Other
Laser,Other
Launch vehicle,SpaceTech
Law,Legal
Law enforcement,Legal
Leaders,Other
Learning management system,EdTech
Legal technology,Legal
Lending,Fintech
Life science,Other
Lifestyle,Other
Live streaming,Media/Entertainment
Loan,Other
Local advertising,Media/Entertainment
Location-based service,Other
Logistics,EV/Mobility
Loyalty program,Other
MLOps,Other
Machine learning,AI/ML
Machine vision,Other
Machinery,Other
Machinery Manufacturing,Other
Magazine,Other
Management,Fintech
Manufacturing,Robotics/Hardware
Many Of Whom Now Give Back As Angels,Other
Marketing,Media/Entertainment
Marketing automation,Media/Entertainment
Marketing/AdTech,Media/Entertainment
Marketplace,E-Commerce/Retail
Massage,Other
Mathematics education,EdTech
Mattress,Other
Meat,Other
Media,Media/Entertainment
Media (communication),Media/Entertainment
Media and Entertainment,Media/Entertainment
Medical,Healthcare/Biotech
Medical device,Healthcare/Biotech
Medical diagnostics,Healthcare/Biotech
Medical education,EdTech
Medical imaging,Healthcare/Biotech
Medical software,SaaS/Software
Medicine,Other
Meditation,Other
Mental health,Healthcare/Biotech
Metal Recycling,CleanTech/Energy
Metamaterial,Other
Metaverse,Media/Entertainment
Micro-enterprise,Other
Microbiome,Other
Microbiome and Gut Health,Other
Microcredit,Fintech
Microelectronics,Robotics/Hardware
Micromobility,EV/Mobility
Military,Defense
Military robot,Defense
Mineral,Other
Mobile Apps,Other
Mobile Devices,Other
Mobile advertising,Media/Entertainment
Mobile application development,Other
Mobile commerce,Other
Mobile device,Other
Mobile device management,Other
Mobile enterprise,Other
Mobile game,Other
Mobile payment,Fintech
Mobile technology,Other
Mobility,EV/Mobility
Mobility Technology,EV/Mobility
Mobility-as-a-Service (MaaS),EV/Mobility
Molecular diagnostics,Healthcare/Biotech
Money transfer,Other
Morphology Dedicated To Unlocking The Potential Of Imaging And Ai In Hematology,AI/ML
Mpox,Other
Multiparty Computation,Other
Music,Media/Entertainment
Nanosatellite,SpaceTech
Natural language processing (NLP),AI/ML
Neobanking,Fintech
Network security,Cybersecurity
Neurodegenerative Disease,Other
Neuroscience,Other
News,Media/Entertainment
Nj,Other
No-code / low-code development,SaaS/Software
Non-fungible token (NFT),Fintech
Nonprofit,Other
Nuclear power,CleanTech/Energy
Nuclear reactor,CleanTech/Energy
Nutrition,FoodTech/AgTech
Of Speculative Asset Whose Value Is Primarily Dependent,Other
On-demand,Other
Onboarding,Other
Oncology,Healthcare/Biotech
Online Grocery,E-Commerce/Retail
Online auction,Other
Online food ordering,FoodTech/AgTech
Online gaming,Media/Entertainment
Online marketplace,E-Commerce/Retail
Online shopping,E-Commerce/Retail
Online to offline,Other
Open data,Other
Open-source software,SaaS/Software
Organic food,FoodTech/AgTech
Other,Other
Outsourcing,Other
Parenting,Other
Park,Other
Payment,Fintech
Payment system,Fintech
Payments/Fintech,Fintech
Peer-to-peer lending,Fintech
Personal care,Other
Personal finance,Other
Personalization,Other
PetTech,Other
Pharma,Healthcare/Biotech
Pharma/Biotech,Healthcare/Biotech
Pharmaceutical industry,Healthcare/Biotech
Photo editing,Other
Photography,Other
Photonics,Robotics/Hardware
Physical security,Cybersecurity
Planning,Other
Plant-based dairy,FoodTech/AgTech
Plant-based meat,FoodTech/AgTech
Plant-based milk,FoodTech/AgTech
Platform,SaaS/Software
Platform as a service (PaaS),SaaS/Software
Point of sale,Other
Predictive analytics,AI/ML
Privacy,Cybersecurity
Private equity,Other
Product Research,Other
Production music,Media/Entertainment
Productive And,Other
Productivity,SaaS/Software
Productivity software,SaaS/Software
Professional services,Other
Programming,Other
PropTech,Real Estate/PropTech
Propulsion,Other
Public safety,Other
Public security,Cybersecurity
Public transport,Other
Publishing,Media/Entertainment
Putbayesin A Unique Position That Allows The Team To Make A Real,Other
Quality assurance,Other
Quantum Computing,Other
Quantum communication,Other
Quantum computing,Other
Quantum sensor,Robotics/Hardware
Quantum software,SaaS/Software
Quantum technology,Other
RNA-based and RNA-targeted therapeutics,Healthcare/Biotech
Radiology,Healthcare/Biotech
Rare disease,Other
Real Estate,Real Estate/PropTech
Real estate agency,Real Estate/PropTech
Real estate technology,Real Estate/PropTech
Recommender system,Other
Recommerce,E-Commerce/Retail
Recruiting/HRTech,Other
Recruitment,HR/Workforce
Refinancing,Other
Regenerative medicine,Other
Renewable energy,CleanTech/Energy
Rental,Other
Research and development,Other
Restaurant,FoodTech/AgTech
Retail,E-Commerce/Retail
Risk management,Other
Robot-enabled delivery,E-Commerce/Retail
Robotic process automation,Other
Robotics,Robotics/Hardware
Robotics software,SaaS/Software
Role-playing game,Other
Run At High Performance,Other
SMS,Other
SaaS,SaaS/Software
Sales,Other
Sales and Marketing,Media/Entertainment
Satellite,SpaceTech
Satellite IoT,SpaceTech
Science,AI/ML
Seafood,FoodTech/AgTech
Search engine (computing),Other
Security,Cybersecurity
Security automation,Cybersecurity
Self-service,Other
Semantic search,Other
Semiconductor,Other
Semiconductors,Robotics/Hardware
Sensor,Robotics/Hardware
Service industry,Other
Service provider,Other
Sharing economy,Other
Shopping,E-Commerce/Retail
Simulation,Other
Skincare Products,Other
Small business,Other
Small- and medium-sized enterprises,Other
Smart Transportation,EV/Mobility
Smart contract,Other
Smart home,Other
Smartphone,Other
Social,Media/Entertainment
Social Media,Media/Entertainment
Social commerce,E-Commerce/Retail
Social impact,Media/Entertainment
Social media,Media/Entertainment
Social media marketing,Media/Entertainment
Social messaging,Media/Entertainment
Social network,Media/Entertainment
Social networking service,Media/Entertainment
Software,SaaS/Software
Software as a service (SaaS),SaaS/Software
Software design,SaaS/Software
Software development,SaaS/Software
Software engineering,SaaS/Software
Software security,SaaS/Software
Solar power,CleanTech/Energy
Space colonization,SpaceTech
Space debris,SpaceTech
Space industry,SpaceTech
SpaceTech,SpaceTech
Spain,Other
Specialty foods,FoodTech/AgTech
Speech recognition,AI/ML
Sport,Other
Sports,Other
Spreadsheet,Other
Startup,Other
Steel,Other
Steelmaking,Other
Subscription box,E-Commerce/Retail
Superconductor,Other
Supply Chain,EV/Mobility
Supply chain,EV/Mobility
Supply chain management,EV/Mobility
Surveillance,Other
Sustainability,CleanTech/Energy
Sustainable energy,Other
Sustainable transport,Other
Synthetic Media,Media/Entertainment
Synthetic biology,Other
Technology,Fintech
Technology transfer,Other
Telecom,Telecom
Telecommunications,Telecom
Telephony,Other
Television,Other
Textbook,Other
Therapeutics,Healthcare/Biotech
Therapy,Healthcare/Biotech
Tissue engineering,Other
To Transport Their Mail From One Place To Another,Other
Tokenization,Fintech
Tourism,Other
Traceability,Other
Trade,Other
Trading Platform,SaaS/Software
Training,EdTech
Translation,Other
Transportation,EV/Mobility
Travel,Other
Travel technology,Other
Travel/Tourism,Other
Truck,Other
Tutor,Other
University,Other
Unmanned aerial vehicle (UAV),EV/Mobility
Urban planning,Other
User experience design,Other
Vaccine,Healthcare/Biotech
Venture capital financing,Fintech
Vertical Takeoff and Landing (VTOL),Other
Vertical farming,FoodTech/AgTech
Video,Media/Entertainment
Video game,Media/Entertainment
Video game industry,Media/Entertainment
Video production,Media/Entertainment
Video surveillance,Media/Entertainment
Virtual assistant,Other
Virtual currency,Other
Virtual reality,Media/Entertainment
VoIP,Other
Voice assistant,Other
Voice recognition,Other
Waste Management,CleanTech/Energy
Water/CleanTech,CleanTech/Energy
Wealth management,Fintech
Wearable technology,Other
Weather,Other
Web design,Other
Web development,Other
Web development tools,Other
Web3,Fintech
Website,Other
Wellness (alternative medicine),Other
While Becoming More Efficient,Other
While Leaving A Mark On Theswissentrepreneurial Scene,Other
Wholesale Trade,Other
Wi-Fi,Other
Wireless,Telecom
Wireless router,Telecom
Workplace wellness,Other
eSports,Media/Entertainment
