investor_id,investor_name,startup_id,startup_name,city,funding_stage
I0001,Dragonfly,S0228,Bitget,Singapore,Venture Round
I0002,8 Decimal Capital,S0228,Bitget,Singapore,Venture Round
I0003,MX Capital,S0228,Bitget,Singapore,Venture Round
I0004,Transferance Fund,S0228,Bitget,Singapore,Venture Round
I0005,CoinNess,S0228,Bitget,Singapore,Venture Round
I0006,Insight Partners,S0229,Thunes,Singapore,Series D
I0007,Bessemer Venture Partners,S0229,Thunes,Singapore,Series D
I0008,Checkout.com,S0229,Thunes,Singapore,Series D
I0009,Endeavor Catalyst,S0229,Thunes,Singapore,Series D
I0010,Vitruvian Partners,S0229,Thunes,Singapore,Series D
I0011,Andreessen Horowitz,S0230,Nansen,Singapore,Series B
I0012,Accel,S0230,Nansen,Singapore,Series B
I0013,Volt Capital,S0230,Nansen,Singapore,Series B
I0014,Tiger Global Management,S0230,Nansen,Singapore,Series B
I0015,Coinbase Ventures,S0230,Nansen,Singapore,Series B
I0016,Activant Capital,S0231,bolttech,Singapore,Series C
I0017,LeapFrog Investments,S0231,bolttech,Singapore,Series C
I0018,MetLife,S0231,bolttech,Singapore,Series C
I0019,Khazanah Nasional,S0231,bolttech,Singapore,Series C
I0020,Baillie Gifford,S0231,bolttech,Singapore,Series C
I0021,HSG,S0232,Airwallex,Singapore,Secondary Market
I0022,Sequoia Capital,S0232,Airwallex,Singapore,Secondary Market
I0023,Blackbird Ventures,S0232,Airwallex,Singapore,Secondary Market
I0024,Salesforce Ventures,S0232,Airwallex,Singapore,Secondary Market
I0025,Hillhouse Investment,S0232,Airwallex,Singapore,Secondary Market
I0026,Temasek Holdings,S0233,Nium,Singapore,Series E+
I0027,Tribe Capital,S0233,Nium,Singapore,Series E+
I0028,Ripple,S0233,Nium,Singapore,Series E+
I0029,Riverwood Capital,S0233,Nium,Singapore,Series E+
I0030,Vertex Ventures,S0233,Nium,Singapore,Series E+
I0031,Peak XV Partners,S0234,Aspire,Singapore,Series C
I0032,Lightspeed Venture Partners,S0234,Aspire,Singapore,Series C
I0033,B Capital,S0234,Aspire,Singapore,Series C
I0034,Y Combinator,S0234,Aspire,Singapore,Series C
I0035,VentureSouq,S0234,Aspire,Singapore,Series C
I0021,HSG,S0235,MiniMax,Singapore,Venture Round
I0036,Alibaba Group,S0235,MiniMax,Singapore,Venture Round
I0037,Tencent,S0235,MiniMax,Singapore,Venture Round
I0038,IDG Capital,S0235,MiniMax,Singapore,Venture Round
I0039,Gaorong Capital,S0235,MiniMax,Singapore,Venture Round
I0040,500 Global,S0236,GRVT,Singapore,Series A
I0041,Hack VC,S0236,GRVT,Singapore,Series A
I0042,EigenLabs,S0236,GRVT,Singapore,Series A
I0043,Further Ventures,S0236,GRVT,Singapore,Series A
I0044,ZKsync,S0236,GRVT,Singapore,Series A
I0021,HSG,S0237,Manus AI,Singapore,Series B
I0045,Benchmark,S0237,Manus AI,Singapore,Series B
I0037,Tencent,S0237,Manus AI,Singapore,Series B
I0046,ZhenFund,S0237,Manus AI,Singapore,Series B
I0021,HSG,S0453,Agibot,Shanghai,Seed
I0047,LG Electronics,S0453,Agibot,Shanghai,Seed
I0037,Tencent,S0453,Agibot,Shanghai,Seed
I0048,CDH Investments,S0453,Agibot,Shanghai,Seed
I0049,JD.com,S0453,Agibot,Shanghai,Seed
I0026,Temasek Holdings,S0454,Xiaohongshu,Shanghai,Secondary Market
I0021,HSG,S0454,Xiaohongshu,Shanghai,Secondary Market
I0025,Hillhouse Investment,S0454,Xiaohongshu,Shanghai,Secondary Market
I0036,Alibaba Group,S0454,Xiaohongshu,Shanghai,Secondary Market
I0037,Tencent,S0454,Xiaohongshu,Shanghai,Secondary Market
I0050,Qiming Venture Partners,S0455,Biren Technology,Shanghai,Venture Round
I0025,Hillhouse Investment,S0455,Biren Technology,Shanghai,Venture Round
I0051,Walden International,S0455,Biren Technology,Shanghai,Venture Round
I0033,BAI capital,S0455,Biren Technology,Shanghai,Venture Round
I0038,IDG Capital,S0455,Biren Technology,Shanghai,Venture Round
I0021,HSG,S0456,Full-Life Technologies,Shanghai,Series C
I0052,Sky9 Capital,S0456,Full-Life Technologies,Shanghai,Series C
I0053,Summer Capital,S0456,Full-Life Technologies,Shanghai,Series C
I0054,Lapam Capital,S0456,Full-Life Technologies,Shanghai,Series C
I0055,Prosperity7 Ventures,S0456,Full-Life Technologies,Shanghai,Series C
I0056,BioVenture,S0457,Smartee Denti-Technology,Shanghai,Series D
I0038,IDG Capital,S0457,Smartee Denti-Technology,Shanghai,Series D
I0057,Neovision Capital,S0457,Smartee Denti-Technology,Shanghai,Series D
I0058,Beijing Taikang Investment,S0457,Smartee Denti-Technology,Shanghai,Series D
I0059,China Resources Capital-China Resources Xianglianhe Fund.,S0457,Smartee Denti-Technology,Shanghai,Series D
I0060,INCE Capital,S0458,Ronovo Surgical,Shanghai,Series D
I0061,Matrix Partners China,S0458,Ronovo Surgical,Shanghai,Series D
I0062,Lilly Asia Ventures,S0458,Ronovo Surgical,Shanghai,Series D
I0063,Vivo Capital,S0458,Ronovo Surgical,Shanghai,Series D
I0064,Granite Asia,S0458,Ronovo Surgical,Shanghai,Series D
I0065,OrbiMed,S0459,Epigenic Therapeutics,Shanghai,Series B
I0050,Qiming Venture Partners,S0459,Epigenic Therapeutics,Shanghai,Series B
I0066,Morningside,S0459,Epigenic Therapeutics,Shanghai,Series B
I0054,Lapam Capital,S0459,Epigenic Therapeutics,Shanghai,Series B
I0067,Kingray Capital,S0459,Epigenic Therapeutics,Shanghai,Series B
I0032,Lightspeed Venture Partners,S0460,MetaX,Shanghai,Series B
I0021,HSG,S0460,MetaX,Shanghai,Series B
I0061,Matrix Partners China,S0460,MetaX,Shanghai,Series B
I0068,China Internet Investment Fund,S0460,MetaX,Shanghai,Series B
I0069,Lightspeed China Partners,S0460,MetaX,Shanghai,Series B
I0070,CICC,S0461,United Imaging Healthcare,Shanghai,Series A
I0071,SDIC Fund Management,S0461,United Imaging Healthcare,Shanghai,Series A
I0072,CITIC Securities,S0461,United Imaging Healthcare,Shanghai,Series A
I0073,CMB International Capital Corporation,S0461,United Imaging Healthcare,Shanghai,Series A
I0074,China Life Insurance,S0461,United Imaging Healthcare,Shanghai,Series A
I0075,Vision Plus Capital,S0462,Fourier Intelligence,Shanghai,Series E+
I0038,IDG Capital,S0462,Fourier Intelligence,Shanghai,Series E+
I0076,SoftBank Vision Fund,S0462,Fourier Intelligence,Shanghai,Series E+
I0077,Volcanics Venture,S0462,Fourier Intelligence,Shanghai,Series E+
I0055,Prosperity7 Ventures,S0462,Fourier Intelligence,Shanghai,Series E+
I0011,Andreessen Horowitz,S0751,Mistral AI,Paris,Series C
I0078,General Catalyst,S0751,Mistral AI,Paris,Series C
I0079,NVIDIA,S0751,Mistral AI,Paris,Series C
I0080,Bpifrance,S0751,Mistral AI,Paris,Series C
I0032,Lightspeed Venture Partners,S0751,Mistral AI,Paris,Series C
I0081,BlackRock,S0752,EcoVadis,Paris,Secondary Market
I0082,General Atlantic,S0752,EcoVadis,Paris,Secondary Market
I0083,CVC Capital Partners,S0752,EcoVadis,Paris,Secondary Market
I0084,Astorg,S0752,EcoVadis,Paris,Secondary Market
I0085,Partech,S0752,EcoVadis,Paris,Secondary Market
I0086,Techstars,S0753,Qovery,Paris,Series A
I0087,Speedinvest,S0753,Qovery,Paris,Series A
I0088,Crane Venture Partners,S0753,Qovery,Paris,Series A
I0089,IRIS,S0753,Qovery,Paris,Series A
I0090,Founders Future,S0753,Qovery,Paris,Series A
I0091,LocalGlobe,S0754,Finary,Paris,Series B
I0087,Speedinvest,S0754,Finary,Paris,Series B
I0034,Y Combinator,S0754,Finary,Paris,Series B
I0092,Crowdcube,S0754,Finary,Paris,Series B
I0093,Kima Ventures,S0754,Finary,Paris,Series B
I0080,Bpifrance,S0755,Genomines,Paris,Series A
I0094,Entrepreneurs First,S0755,Genomines,Paris,Series A
I0095,Lowercarbon Capital,S0755,Genomines,Paris,Series A
I0096,Elemental Impact,S0755,Genomines,Paris,Series A
I0097,Engine Ventures,S0755,Genomines,Paris,Series A
I0080,Bpifrance,S0756,Bioptimus,Paris,Series A
I0098,Headline,S0756,Bioptimus,Paris,Series A
I0099,Hitachi Ventures,S0756,Bioptimus,Paris,Series A
I0100,Hummingbird Ventures,S0756,Bioptimus,Paris,Series A
I0101,Cathay Innovation,S0756,Bioptimus,Paris,Series A
I0080,Bpifrance,S0757,Alice & Bob,Paris,Series B
I0102,AVP,S0757,Alice & Bob,Paris,Series B
I0103,European Innovation Council,S0757,Alice & Bob,Paris,Series B
I0104,Supernova Invest,S0757,Alice & Bob,Paris,Series B
I0105,Acequia Capital (AceCap),S0757,Alice & Bob,Paris,Series B
I0106,Sofinnova Partners,S0758,SafeHeal,Paris,Series C
I0107,Asabys Partners,S0758,SafeHeal,Paris,Series C
I0108,Genesis Medtech,S0758,SafeHeal,Paris,Series C
I0109,Gideon Strategic Partners,S0758,SafeHeal,Paris,Series C
I0110,M&L Healthcare Investments,S0758,SafeHeal,Paris,Series C
I0012,Accel,S0759,H Company,Paris,Convertible Note
I0111,Creandum,S0759,H Company,Paris,Convertible Note
I0112,Amazon,S0759,H Company,Paris,Convertible Note
I0113,FirstMark,S0759,H Company,Paris,Convertible Note
I0114,UiPath,S0759,H Company,Paris,Convertible Note
I0080,Bpifrance,S0760,Request Finance,Paris,Venture Round
I0115,Balderton Capital,S0760,Request Finance,Paris,Venture Round
I0116,XAnge,S0760,Request Finance,Paris,Venture Round
I0117,Animoca Brands,S0760,Request Finance,Paris,Venture Round
I0118,Sebastien Borget,S0760,Request Finance,Paris,Venture Round
I0007,Bessemer Venture Partners,S0903,Auterion,Zurich,Series B
I0119,Lakestar,S0903,Auterion,Zurich,Series B
I0120,Costanoa Ventures,S0903,Auterion,Zurich,Series B
I0121,U.S. Department of Defense,S0903,Auterion,Zurich,Series B
I0122,Mosaic Ventures,S0903,Auterion,Zurich,Series B
I0007,Bessemer Venture Partners,S0904,ANYbotics,Zurich,Venture Round
I0123,NGP Capital,S0904,ANYbotics,Zurich,Venture Round
I0124,TDK Ventures,S0904,ANYbotics,Zurich,Venture Round
I0030,Vertex Ventures,S0904,ANYbotics,Zurich,Venture Round
I0104,Supernova Invest,S0904,ANYbotics,Zurich,Venture Round
I0125,Fasanara Capital,S0905,Teylor,Zurich,Debt Financing
I0126,M&G Plc,S0905,Teylor,Zurich,Debt Financing
I0127,Barclays Investment Bank,S0905,Teylor,Zurich,Debt Financing
I0128,WENVEST Capital,S0905,Teylor,Zurich,Debt Financing
I0129,Weisshorn,S0905,Teylor,Zurich,Debt Financing
I0130,Partners Group,S0906,Climeworks,Zurich,Private Equity
I0131,Zürcher Kantonal Bank,S0906,Climeworks,Zurich,Private Equity
I0020,Baillie Gifford,S0906,Climeworks,Zurich,Private Equity
I0109,Gideon Strategic Partners,S0906,Climeworks,Zurich,Private Equity
I0132,Global Founders Capital,S0906,Climeworks,Zurich,Private Equity
I0131,Zürcher Kantonal Bank,S0907,Cutiss,Zurich,Series C
I0133,Innosuisse,S0907,Cutiss,Zurich,Series C
I0134,Shiloh Advisors,S0907,Cutiss,Zurich,Series C
I0135,Government of France,S0907,Cutiss,Zurich,Series C
I0136,The Wyss Foundation,S0907,Cutiss,Zurich,Series C
I0021,HSG,S0908,RIVR,Zurich,Grant
I0137,Bezos Expeditions,S0908,RIVR,Zurich,Grant
I0138,Linear Capital,S0908,RIVR,Zurich,Grant
I0139,Agile Robots AG,S0908,RIVR,Zurich,Grant
I0133,Innosuisse,S0908,RIVR,Zurich,Grant
I0140,Tenity,S0910,Veezoo,Zurich,Series A
I0133,Innosuisse,S0910,Veezoo,Zurich,Series A
I0141,SICTIC,S0910,Veezoo,Zurich,Series A
I0142,ACE Ventures,S0910,Veezoo,Zurich,Series A
I0143,Thomas Dübendorfer,S0910,Veezoo,Zurich,Series A
I0144,Craft Ventures,S0911,Loft Dynamics,Zurich,Series B
I0145,UP Partners,S0911,Loft Dynamics,Zurich,Series B
I0146,Sky Dayton,S0911,Loft Dynamics,Zurich,Series B
I0147,The Friedkin Group,S0911,Loft Dynamics,Zurich,Series B
I0148,Alaska Star Ventures,S0911,Loft Dynamics,Zurich,Series B
I0149,Valor Equity Partners,S0912,21Shares,Zurich,Venture Round
I0150,Morgan Creek Digital,S0912,21Shares,Zurich,Venture Round
I0151,Marshall Wace,S0912,21Shares,Zurich,Venture Round
I0152,Collab+Currency,S0912,21Shares,Zurich,Venture Round
I0153,Anthony Pompliano,S0912,21Shares,Zurich,Venture Round
I0154,Point72 Ventures,S0917,GenTwo,Zurich,Series A
I0155,Swiss Fintech Awards 2022,S0918,DeepJudge,Zurich,Seed
I0156,Ananda Impact Ventures,S0919,Jua,Zurich,Series A
I0123,NGP Capital,S0925,Scandit,Zurich,Series D
I0103,European Innovation Council,S0926,Positrigo,Zurich,Venture Round
I0034,Y Combinator,S0930,Cerrion,Zurich,Seed
I0157,Eclipse Ventures,S0932,Decentriq,Zurich,Grant
I0158,Serpentine Ventures,S0934,Evulpo,Zurich,Series A
I0159,BlackFin Capital Partners,S0941,ETFbook,Zurich,Series A
I0160,Yttrium (Digital+Partners),S0946,Starmind.ai,Zurich,Series A
I0133,Innosuisse - Swiss Agency for Innovation,S0953,LatticeFlow,Zurich,Bridge Round
I0161,Avon Ventures,S0962,CLST,Zurich,Seed
I0162,MSA Safety,S0963,Fotokite,Zurich,Series B
I0163,Fyrfly Venture Partners,S0970,Locatee,Zurich,Series A
I0164,StartAngels Network,S0971,CareerFairy,Zurich,Series A
I0165,Norrsken VC,S0990,Oviva,Zurich,IPO
I0166,Medixci,S0991,Molecular Partners,Zurich,
I0167,DST Global,S0992,Flexion Robotics,Zurich,Series A
I0168,Kineo finance,S0993,Boost inc,Zurich,Series B
I0169,UBS,S0994,Voliro AG,Zurich,Series A
I0170,A/O PropTech UK,S0995,Gravis Robotics,Zurich,Series B
I0138,Linear Capital,S0996,Swiss-Mile,Zurich,Seed
I0171,Venture Kick,S0997,Mimic Robotics,Zurich,Seed
I0172,Dr. Andreas Hauri,S0998,Unique,Zurich,Series A
I0088,Crane Venture Partners,S0999,Zitadel,Zurich,
I0173,Session.vc,S1000,Deskbird,Zurich,Series B
I0174,M&G Catalyst,S1001,SkyCell,Zurich,Series D
I0160,Yttrium (Digital+Partners),S1002,embotech AG,Zurich,Series B
I0175,Pareto Holdings,S1003,Ahead Health,Zurich,Seed
I0176,Shima Capital,S1004,Almanak,Zurich,Series A
I0177,Heavybit,S1005,LocalStack,Zurich,Series A
I0178,ETH Zurich,S1006,Tethys Robotics - Switzerland,Zurich,Seed
I0179,FinTech Innovation Lab,S1007,Calvin Risk,Zurich,Seed
I0180,Swiss Federal Office of Energy,S1008,Metafuels,Zurich,Series A
I0181,Seedcamp (SC),S1009,Porters,Zurich,Pre-Seed
I0182,GSR Ventures,S1010,Turtle,Zurich,Seed
I0183,Kurma Partners,S1011,EvlaBio,Zurich,Seed
I0184,Lindt & Sprüngli,S1012,Food Brewer,Zurich,Seed
I0133,Innosuisse - Swiss Agency for Innovation,S1013,Lightium,Zurich,Seed
I0185,Dell Technologies Capital,S1014,CUE,Zurich,Seed
I0131,Zürcher Kantonal Bank,S1015,Haelixa,Zurich,Series A
I0186,ESA BIC Switzerland,S1016,a-metal,Zurich,Bridge Round
I0187,BfW - Bank,S1017,Scalera,Zurich,Seed
I0188,VI Partners AG,S1018,Somagenetix,Zurich,Series A
I0189,Bodhi Ventures,S1019,Enso Finance,Zurich,Seed
I0171,Venture Kick,S1020,Optiml Ag,Zurich,Pre-Seed
I0190,Archblock,S1021,Centi AG,Zurich,Seed
I0191,Dropbox Ventures,S1022,Lakera,Zurich,Series A
I0192,b2venture,S1023,Nautica Technologies,Zurich,Seed
I0193,QAI Ventures,S1024,ZuriQ,Zurich,Seed
I0194,Joyned Capital,S1025,Everyman Health,Zurich,Seed
I0195,Founderful,S1026,Apheros,Zurich,Seed
I0196,Faction VC,S1027,Schuman Financial AG,Zurich,Seed
I0155,Swiss Fintech Awards 2022,S1028,Selma Finance AG,Zurich,
I0155,Swiss Fintech Awards 2022,S1029,tiun.,Zurich,Seed
I0197,Block.one (B1),S1030,Wyden,Zurich,Series B
I0198,Swisscom Ventures,S1031,Unisers,Zurich,Seed
I0141,Swiss ICT Investor Club (SICTIC),S1032,Calingo Insurance AG,Zurich,Seed
I0199,King Street Capital,S1033,Swissport,Zurich,IPO
I0141,Swiss ICT Investor Club (SICTIC),S1034,Qala AG,Zurich,Pre-Seed
I0200,Wingman Ventures,S1035,Chipmind,Zurich,Pre-Seed
I0141,Swiss ICT Investor Club (SICTIC),S1036,Nextesy,Zurich,Seed
I0141,Swiss ICT Investor Club (SICTIC),S1037,Taskbase,Zurich,Seed
I0201,Edenred Capital Partners,S1038,Avrios,Zurich,Series B
I0181,Seedcamp (SC),S1039,Zenline AI,Zurich,Pre-Seed
I0195,Founderful,S1040,sallea,Zurich,Pre-Seed
I0202,Kizoo,S1041,Cellvie,Zurich,Seed
I0203,Various Companies,S1042,TONI Digital,Zurich,Series B
I0204,byFounders,S1043,"Loki Robotics, Inc",Zurich,
I0205,SOSV,S1045,Oxyle AG,Zurich,Seed
I0206,Schwyzer Kantonalbank,S1046,neon Switzerland,Zurich,
I0207,Hatteland Group,S1047,Fruitful AI,Zurich,Seed
I0208,Move+ scale,S1049,CrowdSports,Zurich,
I0171,Venture Kick,S1050,Flink Robotics,Zurich,Seed
I0171,Venture Kick,S1051,Calico Biosystems,Zurich,Seed
I0209,Swiss InsurTech Hub Awards '23,S1052,vlot Ltd,Zurich,
I0210,Höhle der Löwen Schweiz,S1053,Sleepiz,Zurich,Series A
I0211,Freigeist Capital,S1056,Akina,Zurich,Series A
I0212,Cavalry Ventures,S1057,SERA Intelligence,Zurich,Seed
I0213,Mathieu Stremsdoerfer,S1058,Healactively,Zurich,Grant
I0214,Universität Zürich | University of Zurich,S1059,Glimpse Health,Zurich,Bridge Round
I0215,Tomahawk.VC,S1060,Farmy Switzerland,Zurich,Series B
I0216,Credibly Neutral,S1061,delta.network,Zurich,
I0217,True Ventures,S1063,Exnaton,Zurich,Series A
I0171,Venture Kick,S1068,Circular Flow Technologies,Zurich,
I0012,Accel,S1069,n8n,Berlin,Series C
I0218,Evantic Capital,S1069,n8n,Berlin,Series C
I0022,Sequoia Capital,S1069,n8n,Berlin,Series C
I0219,Highland Europe,S1069,n8n,Berlin,Series C
I0220,Automattic,S1069,n8n,Berlin,Series C
I0221,HV Capital,S1069,n8n,Berlin,Series C
I0222,Redpoint,S1069,n8n,Berlin,Series C
I0078,General Catalyst,S1070,Helsing,Berlin,Series D
I0012,Accel,S1070,Helsing,Berlin,Series D
I0032,Lightspeed Venture Partners,S1070,Helsing,Berlin,Series D
I0223,BDT & MSD Partners,S1070,Helsing,Berlin,Series D
I0224,Saab,S1070,Helsing,Berlin,Series D
I0007,Bessemer Venture Partners,S1071,Upvest,Berlin,Series C
I0225,Sapphire Ventures,S1071,Upvest,Berlin,Series C
I0081,BlackRock,S1071,Upvest,Berlin,Series C
I0087,Speedinvest,S1071,Upvest,Berlin,Series C
I0221,HV Capital,S1071,Upvest,Berlin,Series C
I0078,General Catalyst,S1072,Parloa,Berlin,Series C
I0226,EQT Ventures,S1072,Parloa,Berlin,Series C
I0122,Mosaic Ventures,S1072,Parloa,Berlin,Series C
I0227,Newion,S1072,Parloa,Berlin,Series C
I0228,Altimeter Capital,S1072,Parloa,Berlin,Series C
I0072,CITIC Securities,S1073,GetYourGuide,Berlin,Debt Financing
I0026,Temasek Holdings,S1073,GetYourGuide,Berlin,Debt Financing
I0229,Deutsche Bank,S1073,GetYourGuide,Berlin,Debt Financing
I0230,Battery Ventures,S1073,GetYourGuide,Berlin,Debt Financing
I0231,BNP Paribas,S1073,GetYourGuide,Berlin,Debt Financing
I0087,Speedinvest,S1074,CoachHub,Berlin,Series D
I0232,RTP Global,S1074,CoachHub,Berlin,Series D
I0221,HV Capital,S1074,CoachHub,Berlin,Series D
I0085,Partech,S1074,CoachHub,Berlin,Series D
I0076,SoftBank Vision Fund,S1074,CoachHub,Berlin,Series D
I0233,Antler,S1075,Claro,Berlin,Pre-Seed
I0234,Plug,S1075,Claro,Berlin,Pre-Seed
I0235,Play,S1075,Claro,Berlin,Pre-Seed
I0236,Founders Factory,S1075,Claro,Berlin,Pre-Seed
I0237,D11Z.Ventures,S1075,Claro,Berlin,Pre-Seed
I0238,Atlas SGR,S1075,Claro,Berlin,Pre-Seed
I0012,Accel,S1076,Born,Berlin,Series A
I0037,Tencent,S1076,Born,Berlin,Series A
I0239,The Twenty Minute VC,S1076,Born,Berlin,Series A
I0161,Laton Ventures,S1076,Born,Berlin,Series A
I0240,Scribble Ventures,S1076,Born,Berlin,Series A
I0241,Alumni Ventures,S1077,Solsten,Berlin,Debt Financing
I0242,Washington Harbour Partners,S1077,Solsten,Berlin,Debt Financing
I0243,GFR Fund,S1077,Solsten,Berlin,Debt Financing
I0244,Decathlon Capital Partners,S1077,Solsten,Berlin,Debt Financing
I0245,Inventure,S1077,Solsten,Berlin,Debt Financing
I0246,Fortino Capital,S1078,revel8,Berlin,Seed
I0247,Merantix Capital,S1078,revel8,Berlin,Seed
I0031,Peak XV Partners,S1078,revel8,Berlin,Seed
I0248,Mario Götze,S1078,revel8,Berlin,Seed
I0249,Rogier Fischer,S1078,revel8,Berlin,Seed
